file_name,title,url_count,word_count,char_count,estimated_section_count,has_korea_bridge_keyword,has_punchline_hint_keyword,risk_flags,source_density_per_1000_words
무제 36.rtf,<미국에는 왜 육아휴직이 없는가...육아휴직 따위 없어도 출산율 높은 미국 근황>,18,241,2473,4,True,True,,74.69
무제 37.rtf,<캐나다 유럽설>,8,251,1735,3,True,True,political_sensitivity,31.87
무제 39.rtf,<코인은 어떻게 상속하는가>,6,54,581,1,False,True,crime_or_drug_sensitivity,111.11
무제 4.rtf,1) 가공식품 관련주의 위기,18,155,2163,3,False,True,corporate_promo_risk,116.13
무제 40.rtf,"LG전자, 전사 차원 희망퇴직 소식에 주가 강세",6,47,497,0,True,True,,127.66
무제 41.rtf,여전히 혼란스러운 프랑스 예산 논쟁 근황,7,32,828,0,False,True,,218.75
무제 43.rtf,"1. 경총 ""최저임금보다 실업급여가 더 높은데 일할 이유있겠나""",8,81,1049,4,True,True,,98.77
무제 5.rtf,<알카트라즈 감옥>,4,277,1618,3,True,True,,14.44
무제 7.rtf,1. 2025년 6월 한국인이 가장 많이 사용하는 AI 챗봇은 ChatGPT가 아닌 제타,0,136,512,3,True,True,,0.0
민원 우려로 축구도 금지된 요즘 학교.rtf,민원 우려로 축구도 금지된 요즘 학교,38,653,4959,5,True,True,,58.19
"백인 우월주의인가, 단순한 광고인가?.rtf","백인 우월주의인가, 단순한 광고인가?",29,273,3992,3,False,True,,106.23
세계에서 가장 AI에 진심인 나라.rtf,세계에서 가장 AI에 진심인 나라,18,194,1978,3,True,True,,92.78
세상에 공짜 점심은 없다..rtf,세상에 공짜 점심은 없다.,21,230,2964,4,False,True,,91.3
"소득은 높지만, 부자가 될 수는 없다..rtf","소득은 높지만, 부자가 될 수는 없다.",27,308,4017,4,True,True,political_sensitivity,87.66
스페이스X의 시가총액은 얼마가 적절할까?.rtf,스페이스X의 시가총액은 얼마가 적절할까?,14,397,2576,5,True,True,,35.26
약 4만명이 모인 삼성전자 총파업 결의대회.rtf,약 4만명이 모인 삼성전자 총파업 결의대회,11,99,928,4,False,True,,111.11
죽은 기업도 살리는 '반도체 붐'.rtf,죽은 기업도 살리는 '반도체 붐',2,164,786,1,False,True,,12.2
중국 돼지고기 가격 폭락의 비밀.rtf,중국 돼지고기 가격 폭락의 비밀,8,310,2019,4,True,True,,25.81
침팬지들은 왜 어제의 동료를 죽였을까.rtf,침팬지들은 왜 어제의 동료를 죽였을까,4,330,1551,1,False,True,political_sensitivity,12.12
"트럼프 ""관세 환급 신청하지 않으면 내 편"".rtf","트럼프 ""관세 환급 신청하지 않으면 내 편""",10,340,2480,3,False,True,political_sensitivity,29.41
티라노사우루스의 비밀.rtf,티라노사우루스의 비밀,9,535,2903,4,True,True,,16.82
